"""Company History""","""Historia de la Compañía""",
"""Parent"" signifies the parent table in which this row must be added","""Padre"" significa la tabla padre en la que debe añadirse esta fila",
"""Team Members"" or ""Management""",Miembros del equipo' o 'Administración',
"""amended_from"" field must be present to do an amendment.",El campo &quot;enmendado_desde&quot; debe estar presente para hacer una enmienda.,
"""{0}"" is not a valid Google Sheets URL",&quot;{0}&quot; no es una URL válida de Hojas de cálculo de Google,
&lt;head&gt; HTML,HTML,
'In Global Search' not allowed for type {0} in row {1},'In Global Search' not allowed for type {0} in row {1},
'In List View' not allowed for type {0} in row {1},'In List View' not allowed for type {0} in row {1},
'Recipients' not specified,'Recipients' not specified,
'{0}' is not a valid URL,'{0}' is not a valid URL,
'{0}' not allowed for type {1} in row {2},'{0}' not allowed for type {1} in row {2},
(Mandatory),(Obligatorio),
** Failed: {0} to {1}: {2},** Fallido: {0} a {1}: {2},
**Currency** Master,**Divisa/Moneda** Principal,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Borrador; 1 - Enviado; 2 - Cancelado,
0 is highest,0 es más alto,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent",
1 Google Calendar Event synced.,1 evento de Google Calendar sincronizado.,
1 Report,1 informe,
1 comment,1 comentario,
1 hour ago,Hace una hora,
1 minute ago,Hace un minuto,
1 month ago,Hace 1 mes,
1 record will be exported,Se exportará 1 registro,
1 week ago,Hace 1 semana,
1 year ago,hace 1 año,
5 Records,5 registros,
; not allowed in condition,no se permite ; en condición,
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>",
